article_title,article_time,article_author,article_image_thumb,article_detail_link
「高橋留美子」原作アニメ「メインヒロイン担当声優」人気ランキングTOP8！　1位は「島本須美（音無響子「めぞん一刻」）」に決定【2022年最新投票結果】,2023/01/03 21:00,ねとらぼ調査隊,https://research.image.itmedia.co.jp/wp-content/uploads/2021/08/1628226580_kyoko-213x300.jpg,https://nlab.itmedia.co.jp/research/articles/1092450/
「クレヨンしんちゃん」の映画で一番好きな作品ランキングTOP30！　第1位は「嵐を呼ぶ アッパレ! 戦国大合戦」【2022年最新投票結果】,2023/01/03 21:00,ねとらぼ調査隊,https://research.image.itmedia.co.jp/wp-content/uploads/2023/01/1670308284_71938LUzGGL._SL1300_AA1500_-300x300.jpg,https://nlab.itmedia.co.jp/research/articles/1069735/
「新世紀エヴァンゲリオンの使徒」人気ランキングTOP18！　第1位は「第17使徒タブリス」に決定！【2022年最新投票結果】,2023/01/03 21:00,Dopey,https://research.image.itmedia.co.jp/wp-content/uploads/2022/10/1665458191_51EKp-YztYL_500x500-300x300.jpg,https://nlab.itmedia.co.jp/research/articles/1036303/
「美少女戦士セーラームーン」シリーズ歴代OP・ED主題歌人気ランキングTOP13！　第1位は「ムーンライト伝説」【2022年最新投票結果】,2023/01/03 21:00,ねとらぼ調査隊,https://research.image.itmedia.co.jp/wp-content/uploads/2022/11/1669204551_001-300x300.jpg,https://nlab.itmedia.co.jp/research/articles/1076777/
【装甲騎兵ボトムズ】あなたが一番好きなTV版に登場する「アーマードトルーパー」はなに？【2022年版・人気投票実施中】,2023/01/03 21:00,ねとらぼ調査隊,https://research.image.itmedia.co.jp/wp-content/uploads/2022/11/1668159095_61Dvu0xpMvL._SL1500_AA1500_-300x300.jpg,https://nlab.itmedia.co.jp/research/articles/1040718/
「検索数が急上昇したアニメ」ランキングTOP10！　第1位は「SPY×FAMILY」【Yahoo！検索大賞2022】,2023/01/03 21:00,センター,https://research.image.itmedia.co.jp/wp-content/uploads/2022/12/1670310583_20221206_t_29-300x158.jpg,https://nlab.itmedia.co.jp/research/articles/1111737/
【聖戦士ダンバイン】あなたが一番好きなTV版に登場する「オーラバトラー」はなに？【2022年版・人気投票実施中】,2023/01/03 21:00,ねとらぼ調査隊,https://research.image.itmedia.co.jp/wp-content/uploads/2022/01/1643261804_91O1fLpRwSL._AC_SL1500_-284x300.jpg,https://nlab.itmedia.co.jp/research/articles/1043308/
【声優】「坂本真綾」が演じたテレビアニメキャラで一番好きなのは？【2022年版・人気投票実施中】,2023/01/03 21:00,ねとらぼ調査隊,https://research.image.itmedia.co.jp/wp-content/uploads/2022/04/1650971546_61LgXmk4xJL._AC_SL1500_-300x300.jpg,https://nlab.itmedia.co.jp/research/articles/1095989/
アニメ「ゲゲゲの鬼太郎」シリーズ作品人気ランキングTOP7！　第1位は「第3期（1985～1988年）」に決定！【2022年最新投票結果】,2023/01/03 21:00,Dopey,https://research.image.itmedia.co.jp/wp-content/uploads/2022/10/1667190940_71FylM1CQtL_1200x1000-300x250.jpg,https://nlab.itmedia.co.jp/research/articles/1022338/
「ひだまりスケッチ」キャラクター人気ランキングTOP19！　第1位は「宮子」に決定！【2022年最新投票結果】,2023/01/03 21:00,Dopey,https://research.image.itmedia.co.jp/wp-content/uploads/2022/11/1668397207_61l9xa4hGaL_1200x1200-300x300.jpg,https://nlab.itmedia.co.jp/research/articles/1053041/
「Production I.G」制作のテレビアニメ人気ランキングTOP31！　第1位は「ジョーカー・ゲーム」に決定！【2022年最新投票結果】,2023/01/03 21:00,ねとらぼ調査隊,https://research.image.itmedia.co.jp/wp-content/uploads/2022/12/1672023125_61hxOm7FsFL._AC_SL1090_-300x273.jpg,https://nlab.itmedia.co.jp/research/articles/1151182/
